priority_rank,entity_type,entity_id,risk_score,risk_band,reasons
218,USER,USR33077,51.06,HIGH,HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
219,USER,USR16260,51.06,HIGH,ML_ANOMALY|HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
220,USER,USR78889,51.06,HIGH,HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
221,USER,USR20752,51.05,HIGH,SUSPICIOUS_NETWORK_COMPONENT
222,USER,USR15768,51.05,HIGH,HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
223,USER,USR19658,51.05,HIGH,ML_ANOMALY|HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
224,USER,USR93008,51.03,HIGH,HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
225,USER,USR62282,51.03,HIGH,HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
226,USER,USR28135,51.03,HIGH,SUSPICIOUS_NETWORK_COMPONENT
227,USER,USR52687,51.01,HIGH,SUSPICIOUS_NETWORK_COMPONENT
228,USER,USR93827,50.99,HIGH,HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
229,USER,USR17289,50.99,HIGH,HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
230,USER,USR63841,50.97,HIGH,HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
231,USER,USR20008,50.97,HIGH,HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
232,USER,USR54428,50.96,HIGH,HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
233,USER,USR59811,50.96,HIGH,SUSPICIOUS_NETWORK_COMPONENT
234,USER,USR59963,50.95,HIGH,HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
235,USER,USR44997,50.92,HIGH,HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
236,USER,USR61500,50.9,HIGH,HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
237,USER,USR58226,50.89,HIGH,HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
238,USER,USR98208,50.89,HIGH,SUSPICIOUS_NETWORK_COMPONENT
239,USER,USR56840,50.88,HIGH,HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
240,USER,USR88654,50.88,HIGH,HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
241,USER,USR58056,50.87,HIGH,SUSPICIOUS_NETWORK_COMPONENT
242,USER,USR90135,50.87,HIGH,HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
243,USER,USR53656,50.86,HIGH,HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
244,USER,USR41986,50.85,HIGH,HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
245,USER,USR32710,50.84,HIGH,SUSPICIOUS_NETWORK_COMPONENT
246,USER,USR61095,50.82,HIGH,HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
247,USER,USR31879,50.82,HIGH,HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
248,USER,USR39136,50.8,HIGH,HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
249,USER,USR51085,50.8,HIGH,HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
250,USER,USR17049,50.8,HIGH,HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
251,USER,USR54262,50.79,HIGH,SUSPICIOUS_NETWORK_COMPONENT
252,USER,USR89234,50.76,HIGH,SUSPICIOUS_NETWORK_COMPONENT
253,USER,USR96885,50.76,HIGH,HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
254,USER,USR13268,50.75,HIGH,SUSPICIOUS_NETWORK_COMPONENT
255,USER,USR69998,50.74,HIGH,HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
256,USER,USR18536,50.73,HIGH,SUSPICIOUS_NETWORK_COMPONENT
257,USER,USR73992,50.72,HIGH,ML_ANOMALY|HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
258,USER,USR73714,50.72,HIGH,HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
259,USER,USR62931,50.71,HIGH,HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
260,USER,USR53940,50.7,HIGH,HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
261,USER,USR83927,50.68,HIGH,HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
262,USER,USR43392,50.67,HIGH,HIGH_BEHAVIORAL_RISK|SUSPICIOUS_NETWORK_COMPONENT
263,USER,USR35203,50.64,HIGH,HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
264,USER,USR63413,50.64,HIGH,SUSPICIOUS_NETWORK_COMPONENT
265,USER,USR51254,50.63,HIGH,HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
266,USER,USR52604,50.62,HIGH,HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
267,USER,USR27789,50.61,HIGH,HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
268,USER,USR51470,50.59,HIGH,HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
269,USER,USR25147,50.56,HIGH,ML_ANOMALY|HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
270,USER,USR38688,50.55,HIGH,ML_ANOMALY|HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
271,USER,USR87165,50.53,HIGH,HIGH_BEHAVIORAL_RISK|SUSPICIOUS_NETWORK_COMPONENT
272,USER,USR48797,50.53,HIGH,HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
273,USER,USR54593,50.52,HIGH,HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
274,USER,USR73126,50.48,HIGH,HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
275,USER,USR26569,50.48,HIGH,SUSPICIOUS_NETWORK_COMPONENT
276,USER,USR37854,50.47,HIGH,HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
277,USER,USR34032,50.47,HIGH,HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
278,USER,USR85909,50.46,HIGH,HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
279,USER,USR71727,50.44,HIGH,HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
280,USER,USR95634,50.44,HIGH,HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
281,USER,USR13772,50.43,HIGH,SUSPICIOUS_NETWORK_COMPONENT
282,USER,USR32821,50.42,HIGH,HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
283,USER,USR17346,50.42,HIGH,SUSPICIOUS_NETWORK_COMPONENT
284,USER,USR74166,50.41,HIGH,HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
285,USER,USR80852,50.4,HIGH,HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
286,USER,USR61183,50.4,HIGH,HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
287,USER,USR54555,50.39,HIGH,SUSPICIOUS_NETWORK_COMPONENT
288,USER,USR91681,50.39,HIGH,HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
289,USER,USR37664,50.38,HIGH,SUSPICIOUS_NETWORK_COMPONENT
290,USER,USR80620,50.37,HIGH,HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
291,USER,USR29884,50.37,HIGH,HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
292,USER,USR98049,50.37,HIGH,SUSPICIOUS_NETWORK_COMPONENT
293,USER,USR17860,50.36,HIGH,HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
294,USER,USR26014,50.36,HIGH,HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
295,USER,USR49257,50.36,HIGH,HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
296,USER,USR82187,50.35,HIGH,HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
297,USER,USR82947,50.35,HIGH,HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
298,USER,USR89723,50.34,HIGH,HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
299,USER,USR72446,50.31,HIGH,HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
300,USER,USR92163,50.3,HIGH,HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
301,USER,USR30637,50.3,HIGH,HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
302,USER,USR20791,50.29,HIGH,HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
303,USER,USR96148,50.29,HIGH,SUSPICIOUS_NETWORK_COMPONENT
304,USER,USR87068,50.28,HIGH,HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
305,USER,USR91577,50.27,HIGH,HIGH_BEHAVIORAL_RISK|SUSPICIOUS_NETWORK_COMPONENT
306,USER,USR89886,50.27,HIGH,HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
307,USER,USR85354,50.26,HIGH,HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
308,USER,USR61697,50.26,HIGH,HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
309,USER,USR13149,50.25,HIGH,HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
310,USER,USR60144,50.25,HIGH,HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
311,USER,USR30571,50.24,HIGH,HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
312,USER,USR97422,50.24,HIGH,SUSPICIOUS_NETWORK_COMPONENT
313,USER,USR19121,50.22,HIGH,HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
314,USER,USR19295,50.21,HIGH,HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
315,USER,USR91276,50.2,HIGH,HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
316,USER,USR19018,50.19,HIGH,HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
317,USER,USR40675,50.18,HIGH,HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
318,USER,USR49292,50.18,HIGH,HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
319,USER,USR63613,50.18,HIGH,HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
320,USER,USR16730,50.18,HIGH,HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
321,USER,USR23691,50.17,HIGH,HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
322,USER,USR47178,50.17,HIGH,HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
323,USER,USR56801,50.17,HIGH,HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
324,USER,USR30201,50.16,HIGH,HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
325,USER,USR72470,50.16,HIGH,HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
326,USER,USR82876,50.15,HIGH,HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
327,USER,USR36102,50.15,HIGH,HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
328,USER,USR94084,50.15,HIGH,SUSPICIOUS_NETWORK_COMPONENT
329,USER,USR51878,50.15,HIGH,HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
330,USER,USR96888,50.13,HIGH,HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
331,USER,USR63430,50.13,HIGH,SUSPICIOUS_NETWORK_COMPONENT
332,USER,USR13049,50.12,HIGH,HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
333,USER,USR60989,50.11,HIGH,HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
334,USER,USR17350,50.1,HIGH,HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
335,USER,USR73074,50.09,HIGH,HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
336,USER,USR66387,50.09,HIGH,HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
337,USER,USR94430,50.08,HIGH,HIGH_BEHAVIORAL_RISK|SUSPICIOUS_NETWORK_COMPONENT
338,USER,USR53745,50.08,HIGH,HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
339,USER,USR44108,50.07,HIGH,SUSPICIOUS_NETWORK_COMPONENT
340,USER,USR12916,50.07,HIGH,HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
341,USER,USR47547,50.07,HIGH,HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
342,USER,USR43228,50.04,HIGH,HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
343,USER,USR24010,50.04,HIGH,HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
344,USER,USR38701,50.03,HIGH,HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
345,USER,USR23170,50.01,HIGH,HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
346,USER,USR49846,50.0,MEDIUM,HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
